省会城市,year,GDP(亿元),人均GDP(元),第一产业增加值(亿元),第二产业增加值(亿元),第三产业增加值(亿元),社会消费品零售总额(亿元)
合肥,2017,7003.05,88456.0,274.0694227,3396.8637654,3378.0998572,2728.5104
合肥,2018,7822.9061,97470.0,277.7131666,3612.6180369999997,3933.3571871,2976.742
合肥,2019,9409.0,115623.0,291.679,3415.467,5701.854,4378.2159
合肥,2020,10046.0,108427.0,331.518,3580.3944,6134.0876,4513.7604
合肥,2021,11413.0,121187.0,351.5204,4171.4515,6891.1694,5111.6824
合肥,2022,12013.0,125798.0,379.6108,4394.3554,7239.0338,5021.6208
北京,2017,28014.94,128994.0,120.464242,5325.640093999999,22568.835664,11575.4
北京,2018,30319.9787,140211.0,118.24791689999999,5648.6120318,24553.1187513,11747.6796
北京,2019,35371.0,164220.0,113.1872,5715.9536,29541.8592,15063.6524
北京,2020,36103.0,164889.0,108.309,5715.1049,30279.5861,13716.396
北京,2021,40270.0,183980.0,112.756,7268.735,32888.509,14867.7416
北京,2022,41611.0,190313.0,112.3497,6603.6657,34894.9846,13794.2455
福州,2017,7027.2259,93290.0,493.5358756,2897.7035241,3635.9865003,4193.8675
福州,2018,7856.8123,102037.0,494.9791749,3204.7937372,4157.0393879,4666.4607
福州,2019,9392.0,120879.0,526.8912,3830.9968,5035.0512,4198.9358
福州,2020,10020.0,121015.0,561.12,3840.666,5618.214,4225.6055
福州,2021,11324.0,135298.0,637.5412,4289.5312,6398.06,4549.4113
福州,2022,12308.0,145936.0,683.094,4657.3472,6967.5588,4679.5215
兰州,2017,2500.8019,67269.0,51.6810523,863.9672782,1582.9362195,1358.7245
兰州,2018,2732.9373,73042.0,42.907115600000004,937.9440814,1752.086103,1352.0905
兰州,2019,2837.0,75217.0,51.6334,945.2884,1840.3619,1672.0018
兰州,2020,2887.0,66680.0,57.4513,933.3671,1896.1816,1641.2397
兰州,2021,3231.0,73807.0,63.0045,1114.0488,2054.916,1757.7416
兰州,2022,3344.0,75992.0,64.8736,1151.0048,2128.1216,1598.2127
